region,component,metric_suffix,metric_title,mean_col,slope,intercept,rvalue,r2,pvalue,stderr,n
CP3,A_P200,peak_lat_ms_roll_mean,Peak latency,A_P200_peak_lat_ms_roll_mean,-0.019416510786726578,183.80772937264595,-0.14518067800005713,0.02107742926455627,0.26838706464960155,0.017374909147623085,60
CP3,A_N200,peak_lat_ms_roll_mean,Peak latency,A_N200_peak_lat_ms_roll_mean,0.0180346010052393,316.9222753985069,0.11404416532746482,0.01300607164523813,0.3855941498774691,0.020628930429581062,60
CP3,A_P300,peak_lat_ms_roll_mean,Peak latency,A_P300_peak_lat_ms_roll_mean,-0.11457576157894377,251.2356786597054,-0.3904481255044368,0.15244973870992842,0.0020409983133265488,0.0354730184475371,60
CP3,T_P50,peak_lat_ms_roll_mean,Peak latency,T_P50_peak_lat_ms_roll_mean,-0.01816251972274106,569.073379594599,-0.2153191941943492,0.04636235538850386,0.09849108029609203,0.01081610885620288,60
CP3,T_N100,peak_lat_ms_roll_mean,Peak latency,T_N100_peak_lat_ms_roll_mean,-0.05786513015354755,620.9973548476595,-0.4111250523711681,0.16902380868719571,0.0011017851427390034,0.016847027551242136,60
CP3,T_P200,peak_lat_ms_roll_mean,Peak latency,T_P200_peak_lat_ms_roll_mean,-0.03437654019304395,689.5010204381895,-0.2201493495530198,0.048465736108617694,0.09098909023717186,0.02000059784632937,60
CP3,T_N200,peak_lat_ms_roll_mean,Peak latency,T_N200_peak_lat_ms_roll_mean,-0.0829862988975106,634.5138915161755,-0.518047199671111,0.26837290108707995,2.241087173211281e-05,0.017991524320566575,60
CP3,T_P300,peak_lat_ms_roll_mean,Peak latency,T_P300_peak_lat_ms_roll_mean,-0.01957285588589432,890.0997002791229,-0.08046641241425988,0.0064748435268217564,0.5410864231365187,0.03183574349720299,60
CP4,A_P50,mean_amp_roll_mean,Mean amplitude,A_P50_mean_amp_roll_mean,0.02252526475045713,-0.38738229697276194,0.5204553982594736,0.2708738215774273,2.0208130772229193e-05,0.004852591527035775,60
CP4,A_N100,mean_amp_roll_mean,Mean amplitude,A_N100_mean_amp_roll_mean,0.015099837048772307,-4.764260325650511,0.5052370297951695,0.255264456276245,3.8356980549301616e-05,0.0033866017726062714,60
CP4,A_P200,mean_amp_roll_mean,Mean amplitude,A_P200_mean_amp_roll_mean,-0.002155730358680864,5.557913263688305,-0.0546223126563421,0.00298359703992719,0.6784992365098284,0.005174417999618708,60
CP4,A_N200,mean_amp_roll_mean,Mean amplitude,A_N200_mean_amp_roll_mean,-0.0016377430693065532,-1.7840577282433723,-0.050535415182556755,0.002553828187673388,0.7013814219706462,0.004249919161241172,60
CP4,A_P300,mean_amp_roll_mean,Mean amplitude,A_P300_mean_amp_roll_mean,0.0012839124991995024,0.6933319428592988,0.05228209106523978,0.0027334170461540256,0.6915682029603516,0.0032201352584668155,60
CP4,T_P50,mean_amp_roll_mean,Mean amplitude,T_P50_mean_amp_roll_mean,0.004754475255457741,-0.6248767099930487,0.11794523953815529,0.01391107952971283,0.3694417037051474,0.005256131445355829,60
